MapID,FightEveNo,BKMusic,Side,EnemyNO,NPCID,LocationPos,AI
10803,1,1,Left,1,10037,3,1
10803,1,1,Left,2,10037,5,1
10804,1,1,Left,1,10006,3,1
10851,1,1,Left,1,22085,3,1
10851,2,1,Left,1,22085,3,1
10851,3,1,Left,1,22085,3,1
10851,4,1,Left,1,22085,3,1
10851,5,1,Left,1,22085,3,1
10851,6,1,Left,1,22085,3,1
10851,7,1,Left,1,22081,8,1
10852,1,1,Left,1,10002,3,1
10852,1,1,Left,2,10002,0,1
10852,1,1,Left,3,10002,0,1
10852,1,1,Left,4,10003,0,1
10852,1,1,Left,5,10005,0,1
10852,1,1,Left,6,10006,0,1
10852,1,1,Left,7,10007,0,1
10852,1,1,Left,8,10008,0,1
10852,1,1,Left,9,10009,0,1
10852,1,1,Left,10,10010,0,1
10852,1,1,Left,11,10011,3,1
10920,1,1,Left,1,10054,3,1
10951,1,1,Left,1,17021,1,1
10951,1,1,Left,2,17021,2,1
10951,1,1,Left,3,17021,3,1
10951,1,1,Left,4,17021,4,1
10951,1,1,Left,5,17021,5,1
10951,1,1,Left,6,17020,0,1
10951,1,1,Left,7,17020,0,1
10951,1,1,Left,8,17020,0,1
10951,1,1,Left,9,17020,0,1
10951,1,1,Left,10,17020,0,1
10951,1,1,Left,11,17020,1,1
10951,1,1,Left,12,17020,2,1
10951,1,1,Left,13,17020,3,1
10951,1,1,Left,14,17020,4,1
10951,1,1,Left,15,17020,5,1
10951,2,2,Left,1,35001,3,1
10951,2,2,Left,2,17047,2,1
10951,2,2,Left,3,17047,4,1
10951,3,2,Left,1,17047,1,1
10951,3,2,Left,2,17047,2,1
10951,3,2,Left,3,17047,4,1
10951,3,2,Left,4,17047,5,1
10951,3,2,Left,5,35002,3,1
10951,3,2,Left,6,34001,0,1
10951,3,2,Left,7,34001,0,1
10951,3,2,Left,8,34001,0,1
10951,3,2,Left,9,34001,0,1
10951,3,2,Left,10,34001,0,1
10951,3,2,Left,11,10001,3,1
10951,4,2,Left,1,35002,3,1
10951,4,2,Left,2,35001,2,1
